N_img,N_slab,γ1,γ2,E_exact,E_ewald,error_r
12,3,1.0,1.0,-0.8166922854862002,0.39420434039550906,1.4826840505305228
14,3,1.0,1.0,-0.8166922854862002,0.3944232159585941,1.4829520530168627
16,3,1.0,1.0,-0.8166922854862002,0.39597177714313775,1.484848190903878
2,5,1.0,1.0,-0.8166922854862002,-0.8184835232819063,0.0021932835996359857
4,5,1.0,1.0,-0.8166922854862002,-0.8167161346356329,2.9202124051478057e-5
6,5,1.0,1.0,-0.8166922854862002,-0.8166926869454761,4.915673663977664e-7
8,5,1.0,1.0,-0.8166922854862002,-0.8166923024158145,2.0729489633843073e-8
10,5,1.0,1.0,-0.8166922854862002,-0.8166897924314485,3.0526243434108145e-6
12,5,1.0,1.0,-0.8166922854862002,-0.8165106538838119,0.0002223990670857572
14,5,1.0,1.0,-0.8166922854862002,-0.7900700672253738,0.03259761201855541
16,5,1.0,1.0,-0.8166922854862002,0.3755085973206401,1.4597920220307812
2,7,1.0,1.0,-0.8166922854862002,-0.8184835236177251,0.0021932840108298012
4,7,1.0,1.0,-0.8166922854862002,-0.816716134861127,2.9202400158137677e-5
6,7,1.0,1.0,-0.8166922854862002,-0.8166926881874386,4.930880890051248e-7
8,7,1.0,1.0,-0.8166922854862002,-0.8166923402171309,6.70153638635692e-8
10,7,1.0,1.0,-0.8166922854862002,-0.816692334363956,5.984843583238471e-8
12,7,1.0,1.0,-0.8166922854862002,-0.8166923338279596,5.919213421308926e-8
14,7,1.0,1.0,-0.8166922854862002,-0.8166922967145838,1.3748609795655796e-8
16,7,1.0,1.0,-0.8166922854862002,-0.8166897924944679,3.0525471791230596e-6
2,3,-1.0,-1.0,-1.7179635415770211,-1.7161672063912603,0.0010456189216401358
4,3,-1.0,-1.0,-1.7179635415770211,-1.717942944279422,1.198936828435841e-5
6,3,-1.0,-1.0,-1.7179635415770211,-1.71818395402457,0.0001282986758534819
8,3,-1.0,-1.0,-1.7179635415770211,-1.7291729201462336,0.006524805851771854
10,3,-1.0,-1.0,-1.7179635415770211,-2.879299625847305,0.6759957683410582
12,3,-1.0,-1.0,-1.7179635415770211,-2.8980337880704194,0.68690063434649
14,3,-1.0,-1.0,-1.7179635415770211,-2.8982585082123973,0.6870314404646288
16,3,-1.0,-1.0,-1.7179635415770211,-2.900255578225807,0.6881939040239988
2,5,-1.0,-1.0,-1.7179635415770211,-1.716167157377397,0.001045647451851765
4,5,-1.0,-1.0,-1.7179635415770211,-1.7179397081263341,1.3873082932329414e-5
6,5,-1.0,-1.0,-1.7179635415770211,-1.7179632427342164,1.7395177341788086e-7
8,5,-1.0,-1.0,-1.7179635415770211,-1.7179636390187027,5.6719295406561155e-8
10,5,-1.0,-1.0,-1.7179635415770211,-1.7179668307081466,1.914552344016546e-6
12,5,-1.0,-1.0,-1.7179635415770211,-1.7181843074380423,0.00012850439236824593
14,5,-1.0,-1.0,-1.7179635415770211,-1.7291729250818921,0.006524808724742339
16,5,-1.0,-1.0,-1.7179635415770211,-2.8792996206131405,0.675995765294332
2,7,-1.0,-1.0,-1.7179635415770211,-1.7161671576343618,0.0010456473022764756
4,7,-1.0,-1.0,-1.7179635415770211,-1.7179397084628962,1.3872887024731046e-5
6,7,-1.0,-1.0,-1.7179635415770211,-1.7179632426619953,1.7399381221336577e-7
8,7,-1.0,-1.0,-1.7179635415770211,-1.7179635906501567,2.85647130264977e-8
10,7,-1.0,-1.0,-1.7179635415770211,-1.71796359509918,3.115442070320949e-8
12,7,-1.0,-1.0,-1.7179635415770211,-1.717963596208293,3.180001823587134e-8
14,7,-1.0,-1.0,-1.7179635415770211,-1.7179636443185344,5.980424543976104e-8
16,7,-1.0,-1.0,-1.7179635415770211,-1.7179668316339654,1.915091248791058e-6
2,3,-1.0,1.0,-1.2718961500414854,-1.2713257144925714,0.0004484922364891188
4,3,-1.0,1.0,-1.2718961500414854,-1.2719040419676695,6.204851067325023e-6
6,3,-1.0,1.0,-1.2718961500414854,-1.2719464961118072,3.958347567935969e-5
8,3,-1.0,1.0,-1.2718961500414854,-1.2593521976405762,0.00986240299610945
10,3,-1.0,1.0,-1.2718961500414854,-1.2670781818494414,0.003788020108313713
12,3,-1.0,1.0,-1.2718961500414854,-1.2719657080043854,5.4688398025036143e-5
14,3,-1.0,1.0,-1.2718961500414854,-1.2719011196783547,3.907266225465239e-6
16,3,-1.0,1.0,-1.2718961500414854,-1.2715499689072987,0.00027217720108314413
2,5,-1.0,1.0,-1.2718961500414854,-1.271325703102922,0.00044850119134714355
4,5,-1.0,1.0,-1.2718961500414854,-1.2719047513347086,6.762575091480467e-6
6,5,-1.0,1.0,-1.2718961500414854,-1.2718960728617061,6.068088124313736e-8
8,5,-1.0,1.0,-1.2718961500414854,-1.2718961932129405,3.3942594351021575e-8
10,5,-1.0,1.0,-1.2718961500414854,-1.2718969124054837,5.993917021838743e-7
12,5,-1.0,1.0,-1.2718961500414854,-1.271845779947797,3.9602363515940166e-5
14,5,-1.0,1.0,-1.2718961500414854,-1.2844402096150378,0.009862487258211509
16,5,-1.0,1.0,-1.2718961500414854,-1.276714225107701,0.003788104135749232
2,7,-1.0,1.0,-1.2718961500414854,-1.271325702521344,0.00044850164859980285
4,7,-1.0,1.0,-1.2718961500414854,-1.2719047508114574,6.762163696870842e-6
6,7,-1.0,1.0,-1.2718961500414854,-1.2718960718264622,6.149481867865734e-8
8,7,-1.0,1.0,-1.2718961500414854,-1.2718962026935214,4.1396489849189535e-8
10,7,-1.0,1.0,-1.2718961500414854,-1.2718962014274044,4.040103358572962e-8
12,7,-1.0,1.0,-1.2718961500414854,-1.2718962013509056,4.034088810350116e-8
14,7,-1.0,1.0,-1.2718961500414854,-1.271896212163506,4.8842054154094674e-8
16,7,-1.0,1.0,-1.2718961500414854,-1.2718954913980869,5.178436922435728e-7
